nama_pengguna,rating,ulasan,clean_ulasan,sentimen
Samuel Sitorus,5,mantap lah,mantap,positif
Dany 07,1,"aplikasi online paling pelit gratis ongkir minimal belanja 3 juta apaan coba mending pake aplikasi oren yuk mari kita pindah ke aplikasi oren , uninstall aja tokopedia , fix ini harus diuninstall ga pernah ada gratis ongkir sekalinya ada harus belanja tiga juta apalah itu dikira gua pekerja DPR",aplikasi online pelit gratis ongkir minimal belanja juta coba mending pake aplikasi oren yuk mari pindah aplikasi oren uninstall aja tokopedia fix diuninstall gratis ongkir sekali belanja juta apa gua kerja dpr,netral
Ardani Rizky,1,kenapa pencarian nama barang kalau di toko ngak sesuai di ketik? aneh dan juga sering juga ngebug nge freeze gambar ngak muncul padahal koneksi internet saya normal saya di apk sebelah lancar aneh ²,cari nama barang toko ngak sesuai ketik aneh ngebug nge freeze gambar ngak muncul koneksi internet normal apk belah lancar aneh,positif
edwar akbar,3,aplikasi lemot,aplikasi lot,netral
hendra rais rais,5,👍👍👍👍👍👍👍👍,,netral
Edi Mulyadi,1,lemot kusut lah,lot kusut,netral
Ginting,1,"Segera tinggalkan tokped. Aplikasi full gimmick. Voucher plus dengan harga 450rb, tp saat dipakai voucher nya masih jauh lebih murah shopee",tinggal tokped aplikasi full gimmick voucher plus harga rb pakai voucher nya murah shopee,positif
Mad Kong,1,makin dongo aj notifikasi chat telah dibaca gk ilang2 njing!,dongo aj notifikasi chat baca ilang njing,netral
Agung Prasetyo,2,"beli komponen kek ( Led Flex ) udah gak bisa mesti gak keluar, harus lewat browser atau pc mau beli pekakas yang sebagian ada di tokopedia ada sekarang malah udah gak bisa, gak muncul lagi, kok malah tambah ribet, gak bisa lagi lewat HP yang Gak bisa contohnya - LED SMD 5730 - LED VU METER RGB",beli komponen kek led flex udah mesti browser pc beli kakas tokopedia udah muncul ribet hp contoh led smd led vu meter rgb,negatif
Ade Nuraini,1,"tokped sekarang banyak bug ya. masa paket saya stuck di situ"" aja gak jelas ini tokped",tokped bug ya paket stuck situ aja tokped,negatif
Caxi Irtinnata,4,oke,oke,positif
Muhamad Ramadan,1,"Sekarang Tokopedia gak bisa ngajukan komplain, udah 10 hari barang gak datang padahal jaraknya malang-surabaya yang normalnya 3-4 hari. Mau komplain tunggu besok, udah besok tunggu lagi besok, gitu aja seterusnya.",tokopedia ngajukan komplain udah barang jarak malang surabaya normal komplain tunggu besok udah besok tunggu besok gitu aja,netral
Juliana Ana,5,in syaa Allah selalu ORI barang toko pedia,in syaa allah ori barang toko dia,positif
Mas sabar Mahudi,1,tidak ada bonus promo,bonus promo,netral
Qonaah Ikhlas,5,good,good,netral
Liouz Zitanggang,1,aku kena penipuan di toko pedia ini. dan akun toko saya diblokir. tolong pencerahannya,kena tipu toko dia akun toko blokir tolong cerah,negatif
Hendi Endot,5,"yth tokped. tolong bantu saya dengan id prayogi putranto, membelibarang berupa hp yg d kirim soklin, blm saya confirmasi barang, sekarang dlm proses pengajuan/complain, tolong d bantu, saya rugi jutaan klo sampai pengajuan complain saya d tolak, sayaharus angsur perbulan 580 selama 6 bln, saya merasa d rugikan klo se andainya gagal pengajuan pengembalian barang.",yth tokped tolong bantu id prayogi putranto membelibarang hp d kirim soklin confirmasi barang dlm proses aju complain tolong d bantu rugi juta klo aju complain d tolak sayaharus angsur bulan bln d rugi klo andai gagal aju kembali barang,negatif
Wu Wa,1,Di persulit untuk return,sulit return,netral
Iwan Maulana,3,oy toped di pencarian terjadi buq tolong segera di fix.....jadi kzl gw 🗿,oy toped cari buq tolong fix kzl gw,netral
Donny Agusta Rizlah,1,"mesen barang sampe jutaan, udh dipesen dibatalin sama toko secara sepihak. harusnya dana gua kan balik. ini malah ditahan sama pihak tokped tanpa kejelasan apapun. kapok gua belanja di tokped. gua ngadu minta bantuan TokopediaCare pun percuma yg bales AI. gaakan ada solusi.",mesen barang sampe juta sen dibatalin toko dana gua tahan tokped jelas apa kapok gua belanja tokped gua ngadu bantu tokopediacare bales ai gaakan solusi,netral
dori chan,1,"sekarang makin parah si ijo ini, masak dana refund lama banget baliknya.. ini udah mau 24jam msh blm balik ke rekening padahal duit lg dibutuhin buat yg lain. aneh sih, toko oren aja Tarik uang hanya itungan detik masuk.. kecewa",parah si ijo masak dana refund banget balik udah jam msh rekening duit lg dibutuhin aneh sih toko oren aja tarik uang itungan detik masuk kecewa,negatif
Achmad Fikri,5,Oke Kak Lakukan dengan sebaik apapun itu Oke.👍👍👍,oke kak laku apa oke,positif
YUTA PANGALILA,1,pas bayar suka gagal & promonya jadi ilang,pas bayar suka gagal promonya ilang,negatif
Mirza Zaky Qasthalany,1,"pihak tokped selalu merekomendasikan barang"" yang mengandung unsur 18+ padahal saya tidak pernah mencari barang"" tersebut di pencarian, dan ini sangat menggangu kenyamana saya sebagai pengguna",tokped rekomendasi barang kandung unsur cari barang cari menggangu kenyamana guna,positif
Mohammad Faisal Riza,5,Mangstab beut dah,mangstab beut dah,netral
Ade Prasetyo,3,Lebelnya doang gratis ongkir :( kencur!,lebelnya doang gratis ongkir kencur,netral
made widia Palguna,3,"Tolong donk buat Tokopedia, sering-sering di cek toko-toko online yg bekerjasama, masih banyak saya jumpai toko abal-abal, ada lapaknya tapi udah lama ga update produknya, tidak pernah online, kirim chat ga pernah dibalas, stok produk masih muncul tapi begitu dibeli ternyata stok sudah habis, kirim produk sering mendekati batas akhir transaksi, dll..., Tokopedia kalau ga mau berbenah bakal ditinggal customer dan kedepan mungkin hanya tinggal nama, kalah sama toko online sebelah.",tolong donk tokopedia cek toko toko online bekerjasama jumpa toko abal abal lapak udah update produk online kirim chat balas stok produk muncul beli stok habis kirim produk dekat batas transaksi dll tokopedia benah tinggal customer depan tinggal nama kalah toko online belah,netral
AICE PROJECT,5,Oke,oke,positif
Abdan Syakur,5,aplikasi yg menurut ku termasuk aplikasi terbaik,aplikasi ku aplikasi baik,positif
Farhan Botak,2,"baru ini make tokped, pembelanjaan dari tokped terlalu lama paling seneb belanja pengiriman nya lama untuk proses nya!!! di perbaiki lagi tuh tolong",make tokped belanja tokped seneb belanja kirim nya proses nya baik tuh tolong,positif
Rofy Ketrina,5,Aku Selalu jadi langganan Tokopedia Terpercaya tepat Pas Barang ya ..,langgan tokopedia percaya pas barang ya,netral
Diinar “Dinar” Rika,1,"belanja disini sering dapat barang palsu..ini udah kesekian kalinya saya dpt barangbpalsu dan tidak sesuai poto dan deskripsi produk.. apa tokopedia ga manegur selleer nya yang dapat bintang 1 ya?? udah gitu susaaaaah banget terhubung dengan CS yang jawab pesan bot..kitanya ga bisa menyampaikan keluhan secara langsung..solusi mengembalikan barang, merepotkan sekali sumpah..",belanja barang palsu udah sekian kali dpt barangbpalsu sesuai poto deskripsi produk tokopedia manegur selleer nya bintang ya udah gitu susaaaaah banget hubung cs pesan bot kita keluh langsung solusi kembali barang repot sumpah,positif
Kintan Jasmine,1,aplikasinya nipu harga jangan di download,aplikasi nipu harga download,netral
Kalena Efris,1,"Ga usah nyantumin diskon kalau ga bisa dipakai. Aplikasi scammer, jangan di download",nyantumin diskon pakai aplikasi scammer download,netral
Abah Nanang,5,serba mudah mantap pokona mah,serba mudah mantap pokona mah,positif
boy bobom,1,Tokopedia banyak barang palsu dan tidak asli dan barang ilegal dan tidak ada perijinan dari pajak dan bea cukai...pantas negara Indonesia jadi rugi sekitar Rp 235.82 triliun,tokopedia barang palsu asli barang ilegal perijinan pajak bea cukai negara indonesia rugi rp triliun,netral
Surya Zurya,1,"Aplikasi sering bermasalah mengenai jaringan, padahal wifi selalu normal, namun server tokopedia sering tidak merespon, tolong perbaiki segera.",aplikasi masalah jaring wifi normal server tokopedia merespon tolong baik,positif
David Wong,5,"aplikasi terbaik ,tidak diragukan lagi",aplikasi baik ragu,positif
Yogi Aditya Firmansyah,1,berat bgt ini aplikasi tokped skrg. dulu saya lbh prioritas tokped ketimbang keranjang kuning krn apk nya enteng. skrg buat scroll2 cari barang sbntar aja udh berat. HP RAM 12 padahal.,berat banget aplikasi tokped skrg lbh prioritas tokped ketimbang keranjang kuning krn apk nya enteng skrg scroll cari barang sbntar aja berat hp ram,netral
supyan,1,sekarang pengiriman di tokopedia jadi lelet banget,kirim tokopedia lelet banget,netral
Upil Cacing,5,pertama belanja. semoga banyak promo dan gratis ongkir,belanja moga promo gratis ongkir,netral
Abdullah,5,goods ferry good,goods ferry good,netral
Ninik Puji Rahayu,1,banyak modus penipuan,modus tipu,negatif
Dzakwan ALBahy,1,parameter batasan keranjangnya ABSURD haha kalo pakai batasan item barang atau toko tidak masalah ini malah pakai batasan pcs juga. efeknya ini saya pesen kertas 1000 pcs gk bisa jadinya wkkw. klik beli juga gk bisa karena larinya kekeranjang dan pasti kena batas max pcs lagi,parameter batas keranjang absurd haha kalo pakai batas item barang toko pakai batas pcs efek sen kertas pcs wkkw klik beli lari keranjang kena batas max pcs,netral
Budi,1,saya kena tipu toko abal abal tokopedia tidak ada tanggapan buat membantu saya,kena tipu toko abal abal tokopedia tanggap bantu,negatif
I Ketut Wintara,1,"LEBIH BAIK BELANJA DI SHOPEE DARI PADA TOKOPEDIA .. SUDAH PESAN BAYAR .., SUDAH DITUNGGU MALAH BARANG TIDAK DATANG TAMPA KONFIRMASI DAN UANG MASUK KE SALDO TOKOPEDIA",belanja shopee tokopedia pesan bayar tunggu barang tampa konfirmasi uang masuk saldo tokopedia,netral
Agus Efendi,1,"Barusan saya kena tipu saya wa ke no. wa yg dapet dari Instagram resminya tokopedia. karena ada pembatalan pembelian., dia nyuruh saya beli barang terus dibatalin akhirnya saya beli tapi saldonya ngk balik lagi malah ada yg ngambil di akun tokopedia punya saya",barusan kena tipu wa no wa dapet instagram resmi tokopedia batal beli nyuruh beli barang dibatalin beli saldo ngk ngambil akun tokopedia,negatif
Badron Sodron,1,aplikasi parah promo besar buat pelanggan tertarik dan akhirnya dibikin kecewa barang gak pernah dikirim,aplikasi parah promo langgan tarik bikin kecewa barang kirim,negatif
Indara Aldairihh,5,proses cpt,proses cpt,netral
Kagasaki Futari (FK),3,"isi bagus, mines notifikasi bloatware. jalan Mulu dan gak bisa dihilangkan, biasanya promo iklan",isi bagus mes notifikasi bloatware jalan mulu hilang promo iklan,positif
Andre Salim,1,"mau pengembalian barang tapi kurirnya tidak datang2, akhirnya komplain ketutup sendiri & dianggap membeli.",kembali barang kurir komplain tutup anggap beli,netral
Dhivan Saputro,5,anjay,anjay,netral
Arif Agustiyan,1,"aplikasi aneh dan gak laku... banyak toko yang di blokir ,gmn mau bersaing dengan toko sebelah... owner nya kelewat TOLOL",aplikasi aneh laku toko blokir gmn saing toko belah owner nya lewat tolol,netral
ochim tsukino,5,"saya tdk akan pernah berbelanja di Tokopedia lagi, banyak toko yg menjual barang tdk layak, mohon ditindaklanjuti",tdk belanja tokopedia toko jual barang tdk layak mohon ditindaklanjuti,netral
rovi jack016,5,proses cepat dan mudah,proses cepat mudah,positif
Indra Irwana,3,"Kenapa ini apk tokopedia, mu masuk ke tagihan tokopedia card saja sudah 2 hari tidak bisa masuk, bagaimana saya bayar jika tidak bisa masuk ke menu tagihan tokopedia card",apk tokopedia mu masuk tagih tokopedia card masuk bayar masuk menu tagih tokopedia card,netral
Mihoyo,1,"coba benerin lagi sistem tokopedia card nya, mau bayar dipersulit, ada aja alesanya, kayak koneksi internetlah, trus harus tunggu 15 menit lah, padahal udah ditungguin sampai besoknya tetep aja gk bisa, masa masalah kyk gini gk hilang hilang, dan masalahnya sampai berhari hari",coba benerin sistem tokopedia card nya bayar sulit aja alesanya kayak koneksi internetlah trus tunggu menit udah ditungguin besok tetep aja kyk gin hilang hilang hari,netral
abang toyib,1,"sekarang Tokopedia aneh pertama saya beli di Tokopedia bisa cod pas udah beli, saya mau beli lagi udah gak bisa cod mau beli apapun juga memang aneh",tokopedia aneh beli tokopedia cod pas udah beli beli udah cod beli apa aneh,netral
galag azis,1,"APLIKASI INI SUDAH MILIK CINA PKI, BUKAN APLIKASI MILIK ANAK BANGSA LAGI... WKWK, KONOHA INDO UDAH DIBELI SAMA CINA",aplikasi milik cina pki aplikasi milik anak bangsa wkwk konoha indo udah beli cina,netral
Iman Zaenal Mutaqin,5,bagus,bagus,positif
Ayu Nita,1,"KURIR ID EXPRESS SERING CHAT SETELAH KIRIM PAKET LALU MEMINJAM UANG, SEBAIKNYA PAKAI SI CEPAT SAJA KARENA SI CEPAT KURIRNYA SOPAN"", JNE MALAS ANTAR KE RUMAH SUKA MINTA KITA KE JALAN AMBIL DI JALAN UTAMA, J&T JUGA MALAS ANTAR KE RUMAH MALAS TURUN DARI MOTOR KITA YANG HARUS NYAMPERIN KE MOTOR",kurir id express chat kirim paket pinjam uang pakai si cepat si cepat kurir sopan jne malas rumah suka jalan ambil jalan utama j t malas rumah malas turun motor nyamperin motor,positif
priyatna bonong,3,sekarang jadi stupid banget fitur pencarian di Tokopedia. Jelas-jelas barangnya ada di toko dan di ketik sesuai nama barang; tetap muncul barang tidak ditemukan! bikin males saja cari barang di Tokopedia. Sejauh ini terus menurun kualitas app Tokopedia.,stupid banget fitur cari tokopedia barang toko ketik sesuai nama barang muncul barang temu bikin males cari barang tokopedia turun kualitas app tokopedia,positif
Syandi Nugroho,5,oke,oke,positif
Andi Cpx,1,Nebar iklan di mana mana saya tidak suka,nebar iklan suka,netral
Teguh Bangun Aribowo,5,ok,ok,netral
Tony Reiha,3,"Gan, setelah di update Fitur Feed Update di tokped nya kok tidak bisa di scroll ya?",gan update fitur feed update tokped nya scroll ya,netral
Adi Siswanto,4,ini dlu.... semoga lancar jaya,dlu moga lancar jaya,netral
m ali mustofa,2,kok macet mau bayar,macet bayar,negatif
ORIGINAL GARAGE,4,tidak seperti dulu,,netral
Rfn _,1,"pembayaran pake gopay saldonya selalu tidak terdeteksi, padahal udah ditopup ehh saldo gopay tabungan malah yang tampil, giliran di topup ke gopay tabungan ehh malah saldo utama yang tampil, hal hasil saya harus top up dua duanya baru bisa",bayar pake gopay saldo deteksi udah ditopup ehh saldo gopay tabung tampil gilir topup gopay tabung ehh saldo utama tampil hasil top up dua,positif
ERHICKSON JANTONIUS SITUMORANG,5,terimahkasih,terimahkasih,netral
Istriheni Monalisatayu,1,"beli diskon dapat kupon event kemarenan disuruh tf dl baru dapat potongan,bayar 40rb,stlh diitung2 eh harga normal cm free ongkir,gimik doang beli kopi 20pcs jatohny satuan2rb,mau bangkrut cukup 1x ja",beli diskon kupon event kemarenan suruh tf dl potong bayar rb stlh diitung eh harga normal cm free ongkir gimik doang beli kopi pcs jatohny satu rb bangkrut x ja,netral
Mukhtar Setiawan,1,koneksi timeout mlu KNPA dah babhi,koneksi timeout mlu knpa dah babhi,netral
Faizal Setiawan,1,"aplikasi buruk sekali, sudah beli pesanan ga dikirim, minta refund malah saldo pake acara ditahan sangat menyulitkan pembeli jangan sampai ada lagi yang ketipu sama aplikasi ini",aplikasi buruk beli pesan kirim refund saldo pake acara tahan sulit beli tipu aplikasi,negatif
Reggina Putri,1,ko akun saya gak bisa klaim voucher sih....,ko akun klaim voucher sih,netral
ilham_ faauzi,1,"bug yang ga pernah fix setiap update aplikasi, ketika melihat foto"" ulasan geser bawah atas kanan kiri hampir gabisa, perbaiki dong min, ngehambat banget bug itu.",bug fix update aplikasi foto ulas geser kanan kiri gabisa baik min ngehambat banget bug,negatif
ali mohammad,5,bagus,bagus,positif
eko jerry eko,1,belanja di sini jarang yang bisa cod,belanja jarang cod,netral
Linka Damin,5,sangat baik membantu saya,bantu,netral
deni saputra,3,"tolong dibuat virtual account kyk aplikasi shopee, bisa buat berbagai macam virtual account msal BSI bisa 10 virtual account untuk 10 produk, krna kami mau booking dulu 10 barang baru bayar, kalau disini harus bayar dulu, sdgkn kalau mau beli produk baru lg jdi produk pertama hilang karna sdh beli produk kedua. tolong diperbaiki. makasih",tolong virtual account kyk aplikasi shopee virtual account msal bsi virtual account produk krna booking barang bayar bayar sdgkn beli produk lg jdi produk hilang karna beli produk tolong baik makasih,positif
Dwi Hartono,5,"Simpel,lengkap,cepat.",simpel lengkap cepat,positif
Anggara Selian,5,sukses,sukses,netral
Fardan bimantara putra,1,"filternya buruk gak kyk dulu, cari barang harus ulang filter terus saat kembali.. sortirnya juga sekarang ngawur kenapa malah jelek daripada yg dulu?",filter buruk kyk cari barang ulang filter sortir ngawur jelek,negatif
Ilhami Putri Ajeng,5,"memuaskan, Produk paling lengkap ya diTokped apapun dicari pasti adaaa Mantap",muas produk lengkap ya ditokped apa cari adaaa mantap,positif
Darrel Ammarnibras,5,bagus mangtap minus kebanyakan error tapi oke,bagus mangtap minus banyak error oke,positif
Asmadi Asmadi,5,mantap toko pedia,mantap toko dia,positif
